Wavelength	As-cast	Co-facial	End-on
1100.05554	0.07784	0.08894	0.09484
1099.46741	0.08603	0.11109	0.08913
1098.99683	0.07714	0.10775	0.10025
1098.526	0.08063	0.09254	0.10373
1098.05505	0.09247	0.10063	0.10658
1097.46619	0.07275	0.10592	0.1034
1096.99487	0.10503	0.09942	0.11017
1096.52332	0.07652	0.09093	0.12056
1096.05164	0.08516	0.08422	0.09802
1095.46179	0.0819	0.0925	0.10375
1094.98975	0.08212	0.11636	0.11317
1094.51758	0.08949	0.08459	0.09981
1094.04517	0.08068	0.10597	0.09792
1093.45447	0.0806	0.09799	0.11234
1092.98169	0.10128	0.10461	0.09709
1092.50879	0.08226	0.09456	0.10907
1092.03565	0.08743	0.09871	0.11058
1091.44397	0.08292	0.0848	0.10169
1090.97046	0.08904	0.09053	0.11089
1090.49683	0.08879	0.09695	0.09768
1090.02307	0.07813	0.09712	0.09577
1089.54907	0.09088	0.09583	0.1033
1088.9563	0.10221	0.09953	0.10121
1088.48193	0.08594	0.09621	0.10689
1088.00745	0.08497	0.1	0.11255
1087.53272	0.08856	0.09212	0.09455
1087.05786	0.09957	0.096	0.11197
1086.46399	0.09231	0.10477	0.11197
1085.98877	0.07823	0.08863	0.11606
1085.51343	0.08168	0.09444	0.10922
1085.03784	0.08431	0.10305	0.1104
1084.44312	0.08369	0.0963	0.10371
1083.96716	0.09092	0.09976	0.11191
1083.49097	0.07714	0.09154	0.09537
1083.01477	0.09284	0.0927	0.10572
1082.53821	0.07922	0.10209	0.11407
1081.94251	0.08874	0.09603	0.10175
1081.46558	0.09123	0.09784	0.11042
1080.98865	0.09892	0.09861	0.09987
1080.51148	0.09222	0.10006	0.11546
1080.03406	0.0931	0.1041	0.10326
1079.55664	0.09121	0.1093	0.11114
1078.95947	0.09222	0.10818	0.10959
1078.48169	0.09222	0.10318	0.1135
1078.00354	0.09613	0.09876	0.12128
1077.52539	0.09601	0.10251	0.11461
1077.047	0.09454	0.09078	0.11298
1076.44885	0.09634	0.09663	0.11562
1075.97009	0.09636	0.10015	0.12412
1075.49121	0.09122	0.10948	0.11639
1075.01209	0.09554	0.10351	0.1164
1074.53284	0.09866	0.09298	0.10786
1074.05347	0.08715	0.09086	0.11224
1073.45398	0.09831	0.09982	0.12142
1072.97412	0.09432	0.09892	0.12525
1072.49426	0.09524	0.09544	0.11157
1072.01416	0.08418	0.10617	0.12041
1071.53381	0.08585	0.0968	0.11404
1071.05335	0.08776	0.0931	0.1122
1070.45264	0.09551	0.10547	0.10943
1069.9718	0.09476	0.09531	0.11653
1069.49085	0.10186	0.10004	0.11204
1069.00964	0.0956	0.09869	0.11476
1068.52832	0.09694	0.09738	0.11681
1068.04688	0.10132	0.1018	0.11676
1067.44482	0.09638	0.10306	0.11514
1066.96301	0.09586	0.1018	0.1191
1066.48096	0.09453	0.10452	0.12022
1065.99878	0.09338	0.09895	0.1117
1065.51648	0.09444	0.10259	0.11582
1065.03394	0.09933	0.09978	0.12301
1064.55127	0.1022	0.10069	0.12226
1063.94775	0.09576	0.10236	0.12688
1063.46472	0.09982	0.10491	0.11828
1062.98157	0.08974	0.10649	0.12264
1062.49817	0.09945	0.09857	0.11927
1062.01465	0.09166	0.10358	0.11622
1061.53101	0.09658	0.1011	0.11031
1061.04712	0.09691	0.10445	0.11542
1060.44202	0.0939	0.09624	0.12063
1059.95789	0.09866	0.11047	0.1196
1059.47351	0.0932	0.10113	0.11523
1058.98889	0.09099	0.09748	0.12189
1058.50415	0.10239	0.09892	0.11688
1058.01929	0.10095	0.10137	0.11357
1057.5343	0.10034	0.10242	0.12124
1057.04907	0.09616	0.10376	0.1177
1056.44238	0.09888	0.10475	0.11139
1055.95679	0.09566	0.10525	0.12462
1055.47107	0.10266	0.10285	0.12471
1054.98523	0.10309	0.10099	0.11346
1054.49915	0.10424	0.10246	0.12779
1054.01294	0.09634	0.1048	0.11954
1053.52649	0.10569	0.10278	0.12159
1053.04004	0.09945	0.1023	0.11931
1052.55335	0.09944	0.10475	0.12439
1051.9447	0.1021	0.1002	0.11923
1051.45764	0.10236	0.1061	0.11964
1050.97046	0.09995	0.10808	0.12466
1050.48303	0.0975	0.10335	0.12231
1049.99548	0.1035	0.10582	0.1247
1049.50769	0.10317	0.10042	0.12131
1049.0199	0.09904	0.10326	0.11699
1048.53186	0.10028	0.10052	0.1273
1048.04358	0.10188	0.10301	0.12302
1047.5553	0.10462	0.1073	0.12185
1046.94458	0.09991	0.10307	0.12711
1046.45593	0.09863	0.10183	0.12578
1045.96704	0.10173	0.10096	0.12594
1045.47791	0.10235	0.10856	0.12582
1044.98877	0.10024	0.10031	0.12655
1044.49939	0.09755	0.10175	0.12348
1044.00989	0.10966	0.10753	0.1201
1043.52014	0.10458	0.1044	0.12381
1043.03027	0.1011	0.10536	0.12822
1042.54028	0.10086	0.10448	0.12344
1042.05017	0.10496	0.10879	0.12634
1041.55981	0.10357	0.10812	0.12357
1040.94666	0.10212	0.1058	0.12914
1040.45593	0.10172	0.10661	0.12673
1039.96509	0.10904	0.108	0.12805
1039.47412	0.10263	0.10762	0.12859
1038.98291	0.10679	0.10679	0.12748
1038.49158	0.106	0.10491	0.12832
1038.00012	0.10794	0.10537	0.12777
1037.50842	0.10591	0.10844	0.12487
1037.0166	0.1053	0.10714	0.1259
1036.52466	0.1034	0.10508	0.13289
1036.03247	0.10346	0.11048	0.12741
1035.54016	0.10788	0.10816	0.13202
1035.04773	0.10585	0.10732	0.12857
1034.55518	0.10625	0.10804	0.13233
1033.93909	0.10414	0.10721	0.12986
1033.44617	0.10778	0.10875	0.13296
1032.953	0.10646	0.10736	0.125
1032.45972	0.10616	0.11107	0.1303
1031.96631	0.11047	0.1086	0.13035
1031.47266	0.10749	0.10641	0.13082
1030.97888	0.10554	0.10762	0.13059
1030.48499	0.10542	0.10856	0.13331
1029.99097	0.10607	0.11375	0.13446
1029.4967	0.10774	0.10711	0.13065
1029.00232	0.10918	0.11141	0.13183
1028.50769	0.11029	0.11112	0.13233
1028.01294	0.10859	0.11168	0.13301
1027.51807	0.10924	0.10983	0.13365
1027.02307	0.11109	0.10953	0.13249
1026.52783	0.10921	0.11257	0.1326
1026.03259	0.10893	0.11266	0.13553
1025.53699	0.10872	0.10883	0.13421
1025.04138	0.10777	0.1117	0.1311
1024.54553	0.11156	0.11089	0.13579
1024.04956	0.10896	0.11175	0.1366
1023.55341	0.11033	0.11085	0.13295
1023.05713	0.11103	0.10942	0.13406
1022.56067	0.11187	0.11167	0.13509
1021.93988	0.11201	0.11412	0.13747
1021.44305	0.10834	0.11395	0.13391
1020.94605	0.11197	0.11239	0.136
1020.44898	0.11278	0.11256	0.13626
1019.95166	0.11153	0.11278	0.13378
1019.45422	0.11231	0.10975	0.13598
1018.9566	0.11323	0.11472	0.1342
1018.45886	0.11361	0.11181	0.1369
1017.96094	0.11414	0.11348	0.13711
1017.46289	0.11381	0.11308	0.13745
1016.96466	0.11286	0.1142	0.13835
1016.46631	0.11568	0.11222	0.13749
1015.96777	0.11606	0.11587	0.13889
1015.46906	0.11329	0.11534	0.13899
1014.97022	0.1165	0.11349	0.13833
1014.47119	0.11652	0.11534	0.14098
1013.97205	0.1163	0.11418	0.14017
1013.47272	0.11428	0.11582	0.13829
1012.97321	0.1187	0.11613	0.13961
1012.47357	0.11665	0.116	0.14132
1011.97382	0.11619	0.1161	0.14257
1011.47388	0.11662	0.11567	0.13917
1010.97376	0.11638	0.1174	0.14138
1010.47351	0.11859	0.11697	0.13974
1009.97308	0.11593	0.11671	0.14046
1009.47253	0.1189	0.11638	0.14405
1008.9718	0.1187	0.11813	0.14004
1008.47095	0.11729	0.11843	0.14454
1007.96991	0.11925	0.11716	0.1438
1007.46869	0.1185	0.11849	0.1435
1006.96735	0.11834	0.11498	0.1434
1006.46582	0.12157	0.11836	0.143
1005.96417	0.12159	0.117	0.14313
1005.4624	0.11869	0.1183	0.14178
1004.96039	0.11961	0.11973	0.14402
1004.45831	0.12154	0.11684	0.14373
1003.95599	0.12069	0.11821	0.14274
1003.45361	0.12164	0.11781	0.14414
1002.95099	0.12025	0.11948	0.14586
1002.44824	0.12168	0.12048	0.14447
